Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance;Elevation_m
SYNOP;SYNO;2458137721;066380;LAG;Langnau i.E.;46.9396,7.80642;744m;2011-06-27T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;742.8
SYNOP;SYNO;2471288936;;MMO;Mormont;47.4381,7.03733;535m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;535.7
SYNOP;SYNO;2474602610;;VSBSP;Bourg-St-Pierre;45.9276,7.19821;1822m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1824.6
SYNOP;SYNO;2479013897;;ZOF;Zofingen;47.2802,7.94339;432m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;431.8
SYNOP;SYNO;2484985463;;VSSOR;Sorniot-Lac Inférieur;46.1666,7.0998;1990m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1983.8
SYNOP;SYNO;2507291825;066780;BIZ;Bischofszell;47.5088,9.2668;507m;2010-03-10T14:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;506.9
SYNOP;SYNO;2510994997;;VSSAL;Saleina;45.986,7.09396;1600m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1599.0
SYNOP;SYNO;2562812657;066280;PLF;Plaffeien;46.7477,7.26626;1042m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1041.2
SYNOP;SYNO;2565247418;066250;GRA;Fribourg / Grangeneuve;46.7714,7.11374;651m;2011-06-20T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;649.6
SYNOP;SYNO;2576164414;;MGB;Mogelsberg;47.3614,9.13604;766m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;767.8
SYNOP;SYNO;2592672265;;CAV;Cavaglia;46.3679,10.0364;1707m;2017-12-05T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;1707.2
SYNOP;SYNO;2600464237;067350;ABO;Adelboden;46.4917,7.5607;1321m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1319.8
SYNOP;SYNO;2611462111;067530;PIO;Piotta;46.5148,8.68804;990m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;992.7
SYNOP;SYNO;2613901822;;YVN;Yverdon-les-Bains;46.7819,6.65099;432m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;432.5
SYNOP;SYNO;2614907723;;GUG;Guglera;46.7497,7.24285;877m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;880.2
SYNOP;SYNO;2625614239;;TRO;Trogen;47.3992,9.4546;975m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;974.5
SYNOP;SYNO;2656521620;;COS;Cossonay;46.6095,6.49308;590m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;590.3
SYNOP;SYNO;2661774761;;MES;Mesocco;46.3956,9.23109;825m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;823.7
SYNOP;SYNO;2665481690;;LUT;Luthern;47.0582,7.91861;767m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;766.7
SYNOP;SYNO;2670959045;066590;PIL;Pilatus;46.9789,8.25226;2105m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;2095.8
SYNOP;SYNO;2675856182;;ROT;Rothenbrunnen;46.7657,9.41847;622m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;626.8
SYNOP;SYNO;2701177183;067580;GRO;Grono;46.2551,9.16376;324m;2012-10-16T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;322.2
SYNOP;SYNO;2701858041;;ORZ;Orzens;46.722,6.68173;624m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;623.3
SYNOP;SYNO;2704051060;;VSISE;Isérables;46.1609,7.24874;1237m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1236.6
SYNOP;SYNO;2704408288;066520;FLU;Flühli, LU;46.8894,8.02034;940m;2015-03-19T09:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;938.8
SYNOP;SYNO;2707304309;066330;BUS;Buchs / Aarau;47.3844,8.07955;387m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;387.5
SYNOP;SYNO;2714062622;;EGL;Lachen / Eggen;47.4339,9.58666;930m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;929.2
SYNOP;SYNO;2718939193;067200;SIO;Sion;46.2186,7.3302;482m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;482.6
SYNOP;SYNO;2742761653;;CNZ;Chanéaz;46.7293,6.74284;758m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;758.6
SYNOP;SYNO;2751685248;067920;SAM;Samedan;46.5262,9.87947;1709m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1708.3
SYNOP;SYNO;2751948543;067510;ROE;Robièi;46.4431,8.51339;1898m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1897.1
SYNOP;SYNO;2756048298;;UBB;Bözberg;47.4817,8.13185;536m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;537.1
SYNOP;SYNO;2763659972;;SON;Sonogno;46.3496,8.78823;910m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;912.7
SYNOP;SYNO;2779493647;066710;STK;Steckborn;47.6686,8.98143;397m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;396.1
SYNOP;SYNO;2796708837;;KIE;Kiental;46.5826,7.7271;930m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;926.4
SYNOP;SYNO;2811546842;;KUE;Küsnacht, ZH;47.3103,8.58532;412m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;417.9
SYNOP;SYNO;2822941520;;PAV;Payerne / Ville;46.8334,6.93551;447m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;448.0
SYNOP;SYNO;2823630443;066760;AEG;Oberägeri;47.1336,8.60821;724m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;723.8
SYNOP;SYNO;2852675505;066040;NEU;Neuchâtel;47.0001,6.9533;485m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;481.8
SYNOP;SYNO;2868372038;;FAI;Faido;46.4775,8.80529;747m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;746.7
SYNOP;SYNO;2880089697;066850;GLA;Glarus;47.0346,9.06696;517m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;517.1
SYNOP;SYNO;2885597367;;ARI;Arisdorf;47.507,7.77459;480m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;479.1
SYNOP;SYNO;2889270042;;JAU;Jaun;46.6116,7.27589;1029m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;1032.9
SYNOP;SYNO;2892015038;067210;BIN;Binn;46.3677,8.19231;1479m;2014-01-17T13:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1483.6
SYNOP;SYNO;2895215938;;BUC;Buch, SH;47.7172,8.7839;414m;2017-12-03T06:00:00Z;2025-04-02T06:00:00Z;-999;-999;-999;418.5
SYNOP;SYNO;2925597553;;VSTUR;Turtmann;46.1698,7.69241;2180m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;2177.7
SYNOP;SYNO;2944188248;;VSSAB;Saas Balen;46.1488,7.92835;1535m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1535.4
SYNOP;SYNO;2945000106;066050;CHA;Chasseral;47.1318,7.05437;1594m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1594.9
SYNOP;SYNO;2949461097;067820;DIS;Disentis;46.7066,8.85348;1197m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1198.6
SYNOP;SYNO;2961915703;;CBS;Châbles;46.826,6.81571;589m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;590.3
SYNOP;SYNO;2963019548;;UNK;Unterkulm;47.3198,8.11108;454m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;453.5
SYNOP;SYNO;2969051499;;PIG;Pigniu;46.8103,9.11514;1325m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;1319.9
